PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,ORDER_PRIORITY,BEST_SELLING,QUANTITY,SHIP_MODE
FUR-CH-5442,"Office Star Executive Leather Armchair, Black",Furniture,Chairs,High,83,11,Same Day
OFF-ST-4516,Hanging Personal Folder File,Office Supplies,Storage,Medium,12,2,First Class
TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones,High,38,9,Same Day
FUR-BO-5948,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,Critical,68,4,Second Class
TEC-CO-6012,"Sharp Wireless Fax, Laser",Technology,Copiers,Critical,55,5,First Class
OFF-AP-4738,"Hoover Refrigerator, White",Office Supplies,Appliances,High,36,7,Second Class
OFF-PA-6557,Xerox 1998,Office Supplies,Paper,Medium,9,7,Standard Class
TEC-CO-4593,"Hewlett Wireless Fax, Laser",Technology,Copiers,High,62,5,Second Class
OFF-BI-3185,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,High,25,5,First Class
FUR-CH-5774,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,Medium,101,11,Second Class
FUR-BO-3639,"Bush Library with Doors, Metal",Furniture,Bookcases,Critical,76,4,First Class
TEC-CO-4790,"HP Wireless Fax, Digital",Technology,Copiers,High,47,6,First Class
FUR-TA-4622,Hon 5100 Series Wood Tables,Furniture,Tables,Low,26,7,Standard Class
OFF-BI-4340,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,Critical,19,4,First Class
TEC-CO-3709,"Canon Wireless Fax, High-Speed",Technology,Copiers,Critical,53,5,Second Class
TEC-CO-5998,"Sharp Fax Machine, Digital",Technology,Copiers,Critical,59,6,Second Class
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,Critical,134,3,First Class
OFF-AP-4221,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Office Supplies,Appliances,Medium,11,2,Standard Class
TEC-CO-3587,"Brother Copy Machine, Color",Technology,Copiers,Critical,97,7,Same Day
TEC-CO-4577,"Hewlett Fax Machine, High-Speed",Technology,Copiers,Critical,75,5,First Class
TEC-AC-3405,"Belkin Router, USB",Technology,Accessories,Critical,104,9,First Class
FUR-BO-5761,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,High,81,8,Standard Class
TEC-PH-5268,"Motorola Smart Phone, Full Size",Technology,Phones,High,130,7,Same Day
OFF-PA-6214,Strathmore Photo Mount Cards,Office Supplies,Paper,High,23,10,First Class
FUR-BO-5787,"Safco Library with Doors, Pine",Furniture,Bookcases,High,76,10,Standard Class
TEC-PH-5816,Samsung Convoy 3,Technology,Phones,High,9,2,First Class
FUR-CH-5379,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,Critical,72,9,Second Class
TEC-PH-5356,"Nokia Smart Phone, with Caller ID",Technology,Phones,Medium,89,9,First Class
TEC-PH-5267,"Motorola Smart Phone, Cordless",Technology,Phones,Medium,66,5,First Class
TEC-CO-6011,"Sharp Wireless Fax, High-Speed",Technology,Copiers,Critical,47,8,Same Day
TEC-PH-5842,"Samsung Smart Phone, with Caller ID",Technology,Phones,Critical,49,5,Second Class
